llh	pi_0	pi_1	pi_2	pi_3	pi_4	pi_5	pi_6	pi_7
-432.2869567871094	-1	3	0	0	6	0	1	3
-432.24432373046875	-1	0	3	0	6	0	2	2
-432.32470703125	-1	0	3	0	6	0	2	3
-432.31317138671875	-1	3	0	0	6	1	0	0
-432.2633361816406	-1	0	3	0	6	2	2	0
-432.24432373046875	-1	0	3	0	6	2	0	0
-432.32470703125	-1	0	3	0	6	2	0	3
-432.27728271484375	-1	3	0	0	6	3	0	1
-432.27728271484375	-1	3	0	0	6	3	1	0
-432.24432373046875	-1	0	3	0	1	0	0	2
-432.24432373046875	-1	0	3	0	1	0	2	0
-432.29425048828125	-1	2	3	0	1	0	0	1
-432.24432373046875	-1	0	3	0	1	0	2	2
-432.32470703125	-1	0	3	0	1	0	2	3
-432.24432373046875	-1	0	3	0	1	0	1	2
-432.29425048828125	-1	2	0	0	1	0	1	3
-432.29425048828125	-1	2	3	0	1	0	1	0
-432.2502746582031	-1	3	0	0	1	0	1	2
-432.2502746582031	-1	3	0	0	1	0	2	1
-432.2633361816406	-1	0	3	0	1	2	2	0
-432.24432373046875	-1	0	3	0	1	2	0	0
-432.24432373046875	-1	0	3	0	1	0	2	1
-432.32470703125	-1	0	3	0	1	2	0	3
-432.29425048828125	-1	2	0	0	1	0	3	1
-432.3072204589844	-1	0	3	0	1	1	0	2
-432.3072204589844	-1	0	3	0	1	1	2	0
-432.3072204589844	-1	0	3	0	1	1	2	2
-432.31317138671875	-1	3	0	0	1	1	0	2
-432.31317138671875	-1	3	0	0	1	1	2	0
-432.31317138671875	-1	3	0	0	1	1	2	2
-432.29425048828125	-1	2	0	0	1	0	0	3
-432.29425048828125	-1	2	0	0	1	0	3	0
-432.2502746582031	-1	3	0	0	1	2	0	1
-432.29425048828125	-1	2	0	0	1	0	3	3
-432.2502746582031	-1	3	0	0	1	2	1	0
-432.29425048828125	-1	2	0	0	1	3	0	0
-432.2979736328125	-1	2	0	0	1	3	0	3
-432.3475341796875	-1	3	0	0	1	2	1	1
-432.2869567871094	-1	3	0	0	1	2	1	3
-432.29425048828125	-1	2	0	0	1	3	3	0
-432.269287109375	-1	3	0	0	1	2	2	1
-432.2633361816406	-1	0	3	0	1	2	2	1
-432.29425048828125	-1	2	3	0	1	0	0	0
-432.24432373046875	-1	0	3	0	1	2	0	1
-432.24432373046875	-1	0	3	0	1	2	1	0
-432.3415832519531	-1	0	3	0	1	2	1	1
-432.32470703125	-1	0	3	0	1	2	1	3
-432.2502746582031	-1	3	0	0	1	0	0	2
-432.2502746582031	-1	3	0	0	1	0	2	0
-432.29425048828125	-1	2	0	0	1	3	0	1
-432.2502746582031	-1	3	0	0	1	0	2	2
-432.29425048828125	-1	2	0	0	1	3	1	0
-432.2502746582031	-1	3	0	0	1	2	0	0
-432.2869567871094	-1	3	0	0	1	0	2	3
-432.269287109375	-1	3	0	0	1	2	2	0
-432.2979736328125	-1	2	0	0	1	3	1	3
-432.27728271484375	-1	3	0	0	1	3	1	2
-432.2869567871094	-1	3	0	0	1	2	0	3
-432.27728271484375	-1	3	0	0	1	3	2	1
-432.30596923828125	-1	3	0	0	1	2	2	3
-432.27728271484375	-1	3	0	0	1	3	0	2
-432.27728271484375	-1	3	0	0	1	3	2	0
-432.29425048828125	-1	2	0	0	1	3	3	1
-432.27728271484375	-1	3	0	0	1	3	2	2
-432.3013610839844	-1	2	0	0	0	0	0	0
-432.29425048828125	-1	2	0	0	0	0	0	3
-432.29425048828125	-1	2	0	0	0	0	3	0
-432.2502746582031	-1	3	0	0	2	0	0	1
-432.29425048828125	-1	2	0	0	0	0	3	3
-432.2502746582031	-1	3	0	0	2	0	1	0
-432.3013610839844	-1	2	0	0	0	3	0	0
-432.2979736328125	-1	2	0	0	0	3	0	3
-432.3475341796875	-1	3	0	0	2	0	1	1
-432.2869567871094	-1	3	0	0	2	0	1	3
-432.29425048828125	-1	2	0	0	0	3	3	0
-432.29425048828125	-1	2	0	0	6	0	0	0
-432.24432373046875	-1	0	3	0	2	0	1	2
-432.31317138671875	-1	3	0	0	2	1	0	0
-432.2502746582031	-1	3	0	0	2	0	1	2
-432.2502746582031	-1	3	0	0	2	0	2	1
-432.24432373046875	-1	0	3	0	2	0	2	1
-432.29425048828125	-1	2	0	0	3	0	0	0
-432.29425048828125	-1	2	0	0	3	0	0	3
-432.29425048828125	-1	2	0	0	3	0	3	0
-432.27728271484375	-1	3	0	0	2	3	0	1
-432.29425048828125	-1	2	0	0	3	0	3	3
-432.27728271484375	-1	3	0	0	2	3	1	0
-432.29425048828125	-1	2	0	0	3	3	0	0
-432.2979736328125	-1	2	0	0	3	3	0	3
-432.29425048828125	-1	2	0	0	3	3	3	0
-432.29425048828125	-1	2	0	0	6	0	0	3
-432.29425048828125	-1	2	0	0	6	0	3	0
-432.29425048828125	-1	2	0	0	6	0	3	3
-432.29425048828125	-1	2	0	0	6	3	0	0
-432.2979736328125	-1	2	0	0	6	3	0	3
-432.29425048828125	-1	2	0	0	6	3	3	0
-432.3072204589844	-1	0	3	0	2	1	0	2
-432.3072204589844	-1	0	3	0	2	1	2	0
-432.3072204589844	-1	0	3	0	2	1	2	2
-432.31317138671875	-1	3	0	0	2	1	0	2
-432.31317138671875	-1	3	0	0	2	1	2	0
-432.31317138671875	-1	3	0	0	2	1	2	2
-432.2502746582031	-1	3	0	0	2	2	0	1
-432.2502746582031	-1	3	0	0	2	2	1	0
-432.3475341796875	-1	3	0	0	2	2	1	1
-432.2869567871094	-1	3	0	0	2	2	1	3
-432.269287109375	-1	3	0	0	2	2	2	1
-432.2633361816406	-1	0	3	0	2	2	2	1
-432.24432373046875	-1	0	3	0	2	2	0	1
-432.24432373046875	-1	0	3	0	2	2	1	0
-432.3415832519531	-1	0	3	0	2	2	1	1
-432.32470703125	-1	0	3	0	2	2	1	3
-432.29425048828125	-1	2	3	0	0	0	0	0
-432.24432373046875	-1	0	3	0	2	0	0	1
-432.24432373046875	-1	0	3	0	2	0	1	0
-432.3415832519531	-1	0	3	0	2	0	1	1
-432.3072204589844	-1	0	3	0	2	1	0	0
-432.32470703125	-1	0	3	0	2	0	1	3
-432.29425048828125	-1	2	3	0	6	0	0	0
-432.27728271484375	-1	3	0	0	2	3	1	2
-432.27728271484375	-1	3	0	0	2	3	2	1
-432.2510986328125	-1	3	0	0	0	0	0	0
-432.248046875	-1	0	3	0	0	0	0	1
-432.2502746582031	-1	3	0	0	0	0	0	2
-432.2869567871094	-1	3	0	0	0	0	0	3
-432.24432373046875	-1	0	3	0	0	0	1	0
-432.3415832519531	-1	0	3	0	0	0	1	1
-432.2502746582031	-1	3	0	0	0	0	2	0
-432.29425048828125	-1	2	0	0	3	0	0	1
-432.2502746582031	-1	3	0	0	0	0	2	2
-432.329345703125	-1	0	3	0	0	1	0	0
-432.32470703125	-1	0	3	0	0	0	1	3
-432.29425048828125	-1	2	0	0	3	0	1	0
-432.2510986328125	-1	3	0	0	0	2	0	0
-432.2869567871094	-1	3	0	0	0	0	2	3
-432.269287109375	-1	3	0	0	0	2	2	0
-432.2781066894531	-1	3	0	0	0	3	0	0
-432.2502746582031	-1	3	0	0	6	0	0	0
-432.24432373046875	-1	0	3	0	1	0	0	0
-432.24432373046875	-1	0	3	0	1	0	0	1
-432.24432373046875	-1	0	3	0	1	0	1	0
-432.3415832519531	-1	0	3	0	1	0	1	1
-432.294189453125	-1	0	3	0	3	0	1	2
-432.3072204589844	-1	0	3	0	1	1	0	0
-432.29425048828125	-1	2	0	0	3	0	1	3
-432.2502746582031	-1	3	0	0	2	0	0	0
-432.2502746582031	-1	3	0	0	2	0	0	2
-432.2869567871094	-1	3	0	0	0	2	0	3
-432.2502746582031	-1	3	0	0	2	0	2	0
-432.2502746582031	-1	3	0	0	2	0	2	2
-432.2502746582031	-1	3	0	0	2	2	0	0
-432.30596923828125	-1	3	0	0	0	2	2	3
-432.269287109375	-1	3	0	0	2	2	2	0
-432.294189453125	-1	0	3	0	3	0	2	1
-432.27728271484375	-1	3	0	0	0	3	0	2
-432.27728271484375	-1	3	0	0	0	3	2	0
-432.29425048828125	-1	2	0	0	3	0	3	1
-432.27728271484375	-1	3	0	0	0	3	2	2
-432.24432373046875	-1	0	3	0	6	0	0	1
-432.2502746582031	-1	3	0	0	6	0	0	2
-432.2869567871094	-1	3	0	0	6	0	0	3
-432.24432373046875	-1	0	3	0	6	0	1	0
-432.3415832519531	-1	0	3	0	6	0	1	1
-432.2502746582031	-1	3	0	0	6	0	2	0
-432.2502746582031	-1	3	0	0	6	0	2	2
-432.3072204589844	-1	0	3	0	6	1	0	0
-432.2502746582031	-1	3	0	0	6	2	0	0
-432.269287109375	-1	3	0	0	6	2	2	0
-432.27728271484375	-1	3	0	0	6	3	0	0
-432.32470703125	-1	0	3	0	1	0	0	3
-432.32470703125	-1	0	3	0	1	0	1	3
-432.2869567871094	-1	3	0	0	2	0	0	3
-432.2869567871094	-1	3	0	0	2	0	2	3
-432.27728271484375	-1	3	0	0	2	3	0	0
-432.2869567871094	-1	3	0	0	2	2	0	3
-432.30596923828125	-1	3	0	0	2	2	2	3
-432.3132019042969	-1	0	3	0	3	2	2	1
-432.294189453125	-1	0	3	0	3	2	0	1
-432.27728271484375	-1	3	0	0	2	3	0	2
-432.294189453125	-1	0	3	0	3	2	1	0
-432.27728271484375	-1	3	0	0	2	3	2	0
-432.27728271484375	-1	3	0	0	2	3	2	2
-432.294189453125	-1	0	3	0	3	0	0	1
-432.294189453125	-1	0	3	0	3	0	1	0
-432.29425048828125	-1	2	0	0	3	3	0	1
-432.29425048828125	-1	2	0	0	3	3	1	0
-432.2979736328125	-1	2	0	0	3	3	1	3
-432.29425048828125	-1	2	0	0	3	3	3	1
-432.32470703125	-1	0	3	0	6	0	1	3
-432.2869567871094	-1	3	0	0	6	0	2	3
-432.2869567871094	-1	3	0	0	6	2	0	3
-432.30596923828125	-1	3	0	0	6	2	2	3
-432.27728271484375	-1	3	0	0	6	3	0	2
-432.27728271484375	-1	3	0	0	6	3	2	0
-432.27728271484375	-1	3	0	0	6	3	2	2
-432.29425048828125	-1	2	3	0	6	0	0	1
-432.24432373046875	-1	0	3	0	6	0	1	2
-432.29425048828125	-1	2	0	0	6	0	1	3
-432.29425048828125	-1	2	3	0	6	0	1	0
-432.2502746582031	-1	3	0	0	6	0	1	2
-432.2502746582031	-1	3	0	0	6	0	2	1
-432.24432373046875	-1	0	3	0	6	0	2	1
-432.29425048828125	-1	2	0	0	6	0	3	1
-432.3072204589844	-1	0	3	0	6	1	0	2
-432.3072204589844	-1	0	3	0	6	1	2	0
-432.3072204589844	-1	0	3	0	6	1	2	2
-432.31317138671875	-1	3	0	0	6	1	0	2
-432.31317138671875	-1	3	0	0	6	1	2	0
-432.31317138671875	-1	3	0	0	6	1	2	2
-432.2502746582031	-1	3	0	0	6	2	0	1
-432.2502746582031	-1	3	0	0	6	2	1	0
-432.3475341796875	-1	3	0	0	6	2	1	1
-432.2869567871094	-1	3	0	0	6	2	1	3
-432.269287109375	-1	3	0	0	6	2	2	1
-432.2633361816406	-1	0	3	0	6	2	2	1
-432.24432373046875	-1	0	3	0	6	2	0	1
-432.24432373046875	-1	0	3	0	6	2	1	0
-432.3415832519531	-1	0	3	0	6	2	1	1
-432.32470703125	-1	0	3	0	6	2	1	3
-432.29425048828125	-1	2	0	0	6	3	0	1
-432.29425048828125	-1	2	0	0	6	3	1	0
-432.2979736328125	-1	2	0	0	6	3	1	3
-432.27728271484375	-1	3	0	0	6	3	1	2
-432.27728271484375	-1	3	0	0	6	3	2	1
-432.29425048828125	-1	2	0	0	6	3	3	1
